brand_id,group_id,username,email,create_time,create_system,create_version,create_source,last_update,update_system,update_version,update_source
12,2158,alan.bourke,alan@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.0,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,karen.sullivan,karens@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.1,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,jay.wood,jay@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.2,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,ian.hutchison,ian@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.3,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,enzo.pagnozzi,enzo@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.4,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,peta,enzo@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.5,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,greg.hillman,info@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.6,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,david.banovich,info@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.7,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,chris.shellabear,chris@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.8,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
12,2158,suzanne.roome,suzanne@test.com.au,2018-05-17 13:25:18,Web App Perl,WEBAPP 1.9,login.cgi,2018-05-17 13:25:18,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,karen.sullivan,karens@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.10,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,jay.wood,jay@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.11,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,ian.hutchison,ian@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.12,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,enzo.pagnozzi,enzo@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.13,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,peta,enzo@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.14,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,greg.hillman,info@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.15,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,david.banovich,info@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.16,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,chris.shellabear,chris@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.17,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,suzanne.roome,suzanne@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.18,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
45,2111,neville.fox,kelmscott@test.com.au,2018-05-17 13:26:16,Web App Perl,WEBAPP 1.19,login.cgi,2018-05-17 13:26:16,Web App Test,WEBAPP 3.0,create_user.cgi
